ST,pct_broadband_FCC_dec_2017,pct_broadband_MS_nov_2019,pct_broadband_FCC_dec_2019,pct_broadband_MS_oct_2020,county_FIPS,IRR2010,county.x,population_2018,venturedensityoct18,venturedensityjan19,venturedensitymar20,venturedensityfeb20,venturedensityjan20,venturedensitydec19,venturedensitynov19,venturedensityoct19,venturedensitysep19,venturedensityaug19,venturedensityapr18,venturedensityjul20,venturedensityjun20,venturedensitymay20,venturedensityapr20,venturedensityaug20,venturedensitysep20,highlyactivemar20,highlyactivefeb20,highlyactivejan20,highlyactivedec19,highlyactivenov19,highlyactiveoct19,highlyactivesep19,highlyactiveaug19,highlyactiveoct18,highlyactivejan19,highlyactiveapr18,highlyactivejul20,highlyactivejun20,highlyactivemay20,highlyactiveapr20,highlyactiveaug20,highlyactivesep20,prosperityindex2016,prosperityindex2018,change_prosperity_07_16,change_prosperity_07_18,frac_BB.sept,frac_BB.oct,frac_BB.nov,frac_BB.dec,emp_cbp_2012,emp_cbp_2017,emp_cbp_2018,emp_cbp_2019,est_cbp_2012,est_cbp_2017,est_cbp_2018,est_cbp_2019,est_50_cbp_2012,est_50_cbp_2017,est_50_cbp_2018,est_50_cbp_2019,est_10_cbp_2012,est_10_cbp_2017,est_10_cbp_2018,est_10_cbp_2019,pct_50_est_cbp_2012,pct_50_est_cbp_2017,pct_50_est_cbp_2018,pct_50_est_cbp_2019,pct_10_est_cbp_2012,pct_10_est_cbp_2017,pct_10_est_cbp_2018,pct_10_est_cbp_2019,neest_nemp_2012,neest_nemp_2017,neest_nemp_2018,nonfarmneest_nemp_2012,nonfarmneest_nemp_2017,nonfarmneest_nemp_2018,pct_nonfarmneest_nemp_2012,pct_nonfarmneest_nemp_2017,pct_nonfarmneest_nemp_2018,chg_pct_nonfarmneest_nemp_2012_2018,pct_fixed_acs_2019,pct_nobroadband_acs_2019,pct_cellularonly_acs_2019,pct_sat_acs_2019,pct_mobileonly_acs_2019,pct_anycomputer_acs_2019,pct_anybroadband_acs_2019,pct_nocomputer_acs_2019,distress_subscription_2019,distress_devices_2019,digital_distress_2019,totalemp_bea_2012,totalemp_bea_2017,totalemp_bea_2018,totalemp_bea_2019,proprietors_bea_2012,proprietors_bea_2017,proprietors_bea_2018,proprietors_bea_2019,nonfarmproprietors_bea_2012,nonfarmproprietors_bea_2017,nonfarmproprietors_bea_2018,nonfarmproprietors_bea_2019,pct_nonfarm_bea_2012,pct_nonfarm_bea_2017,pct_nonfarm_bea_2018,pct_nonfarm_bea_2019,pct_chg_bea_2012_2019,RUCC_2013,metro_desc,pctlessthanhigh_2019,pctbachelors_2019,pctgraduate_2019,pctagriculture_2019,pctconstruction_2019,pctmanufacture_2019,pctwholesale_2019,pctretail_2019,pcttransportation_2019,pctinformation_2019,pctfinance_2019,pctprofessional_2019,pctedu_healthcare_social_2019,pctarts_ent_2019,pctother_occupation_2019,pctpublic_admin_2019,pct_self_employed_2019,pct_unemployment_2019,population_2019,pct_genz_2019,pct_millennial_2019,pct_genx_2019,pct_boomers_2019,med_income_2019,cbsa_min_dist,sk2014,vd_mean_19,vd_mean_20,havd_mean_19,havd_mean_20,pct_broadband_mlab,pct100_10_dec_2016_fcc,pct100_10_dec_2017_fcc,pct100_10_dec_2018_fcc,pct100_10_dec_2019_fcc,pct100_10_jun_2017_fcc,pct100_10_jun_2018_fcc,pct100_10_jun_2019_fcc,pct1000_100_dec_2016_fcc,pct1000_100_dec_2017_fcc,pct1000_100_dec_2018_fcc,pct1000_100_dec_2019_fcc,pct1000_100_jun_2017_fcc,pct1000_100_jun_2018_fcc,pct1000_100_jun_2019_fcc,pct25_3_dec_2016_fcc,pct25_3_dec_2017_fcc,pct25_3_dec_2018_fcc,pct25_3_dec_2019_fcc,pct25_3_jun_2017_fcc,pct25_3_jun_2018_fcc,pct25_3_jun_2019_fcc,pct250_25_dec_2016_fcc,pct250_25_dec_2017_fcc,pct250_25_dec_2018_fcc,pct250_25_dec_2019_fcc,pct250_25_jun_2017_fcc,pct250_25_jun_2018_fcc,pct250_25_jun_2019_fcc,metro_f,indstry_diversity,nonfarmprop_percapita,nonemp_percapita,est_10_cbp_percapita,est_50_cbp_percapita,pop_dense_2019,pct_bb_qos
KS,0.96,0.28,1,0.58,20001,0.55,Allen County,12951,0.957455039,0.123542584,0.13898541,0.115821175,0.115821175,0.115821175,0.115821175,0.115821175,0.115821175,0.108099759,0.054049879,0.154428229,0.154428229,0.162149638,0.14670682,0.169871047,0.169871047,0.015442823,0.015442823,0.015442823,0.023164235,0.015442823,0.015442823,0.030885646,0.030885646,0.162149653,0.04632847,0.162149653,0.030885646,0.030885646,0.030885646,0.023164235,0.030885646,0.030885646,49.4897728,47.5003891,-8.516494751,-10.50587845,0.2063819005769554,0.16623692149840558,0.39521514873662467,0.428557948332922,4481,4346,4244,4255,379,379,382,376,367,369,373,365,296,296,302,293,0.9683377308707124,0.9736147757255936,0.9764397905759162,0.9707446808510638,0.7810026385224275,0.7810026385224275,0.7905759162303665,0.7792553191489362,916,831,804,893,791,686,0.10443223014852064,0.9518652226233454,0.08499566348655681,-0.12165699884855208,0.568,0.248,0.086,0.11,0.08199999999999999,0.8440000000000001,0.752,0.15599999999999994,-0.5898690213160047,-0.12407584494581474,0.2954861329139649,8551,8070,8071,8132,2318,2133,2037,1940,1750,1617,1518,1425,0.2046544263828792,0.2003717472118959,0.18808078305042747,0.17523364485981308,-0.029420781523066125,7,Nonmetro,0.919,0.203,0.925,0.052000000000000005,0.057,0.212,0.019,0.102,0.057999999999999996,0.012,0.077,0.028999999999999998,0.27399999999999997,0.035,0.046,0.028999999999999998,0.063,0.046,12556,0.136,0.159,0.23399999999999999,0.256,25.762,111078.98179134009,0.274164949,0.11582117383333333,0.14756475222222223,0.027024940499999997,0.024880103777777777,0.29909797978622693,0.702356637863315,0.7468647655563544,0.7426872388299582,0.7464629315223543,0.7489395129615083,0.7436696221742951,0.7475088396014143,0,0.0013579359373751896,0.005544840887174542,0.0050933786078098476,0,0.007508586947839284,0.005544840887174542,0.8780832678711704,0.9567856857576483,1,1,0.9490966221523959,1,1,0.6391987431264728,0.6511702212636792,0.6456123432979749,0.6507397526073248,0.6484681853888452,0.647815320712517,0.6526036644165863,Nonmetro,0.8488020000000001,0.1134915578209621,0.06403313157056387,0.023335457151959223,0.029069767441860465,9.690034361258522e-6,0.6183847273940893
KS,0.98,0.06,1,0.179,20003,0.57,Anderson,7858,0.941715479,1.997963905,2.23975563,2.201577902,2.188852072,2.176126242,2.188852072,2.125222683,2.125222683,2.137948513,0.789004862,2.303385019,2.265207529,2.252481461,2.252481461,2.303385019,2.290659189,0.470857739,0.483583599,0.521761239,0.509035349,0.559938908,0.496309489,0.43268007000000003,0.521761239,0.22906591,0.407228291,0.187070504,0.496309489,0.43268007000000003,0.470857739,0.483583599,0.470857739,0.419954181,43.79876709,47.65581512,-5.317497253,-1.460449219,0.04958526182693084,0.009543230678612171,0.14487852852237731,0.10591503580227929,1432,1435,1429,1553,216,201,202,196,212,197,198,193,179,169,172,161,0.9814814814814815,0.9800995024875622,0.9801980198019802,0.9846938775510204,0.8287037037037037,0.8407960199004975,0.8514851485148515,0.8214285714285714,611,634,622,487,456,523,0.12458429265796879,0.7192429022082019,0.1344818719465158,0.04378200304176916,0.45,0.28800000000000003,0.132,0.14400000000000002,0.07400000000000001,0.815,0.7120000000000001,0.185,0.25082728138158944,0.12879612165570922,0.37299135487768703,3909,3883,3889,3970,1758,1613,1632,1637,1133,1027,1042,1050,0.28984394985929907,0.2644862219933041,0.26793520185137565,0.26448362720403024,-0.02536032265526883,6,Nonmetro,0.91,0.18100000000000002,0.924,0.11599999999999999,0.086,0.079,0.033,0.09699999999999999,0.07,0.018000000000000002,0.046,0.045,0.28,0.057,0.05,0.023,0.126,0.034,7835,0.145,0.15,0.225,0.248,25.546,74556.03911230485,-0.115177543,2.125222683,2.2553094757777776,0.4878255576666667,0.47227171044444444,0.07748051420754991,0,0,0.3879157146483879,0.3819037923135658,0,0.008425890463423975,0.3827113480578827,0,0,0,0,0,0,0,0.9100421079494705,0.9790629388484616,1,1,0.9790736251116499,1,1,0,0,0,0,0,0,0,Nonmetro,0.868366,0.13401403956604976,0.0793873643905552,0.020548819400127632,0.024633056796426293,5.218904560485496e-6,0.1605368485263426
KS,0.77,0.18,0.815,0.337,20005,0.53,Atchison,16557,1.038835526,1.147550941,1.274385452,1.304584146,1.310623884,1.292504668,1.304584146,1.244186759,1.244186759,1.244186759,0.585854948,1.280425191,1.28646493,1.304584146,1.274385452,1.274385452,1.280425191,0.271788359,0.289907604,0.295947343,0.283867836,0.271788359,0.271788359,0.283867836,0.295947343,0.229510188,0.247629404,0.240247503,0.271788359,0.283867836,0.277828097,0.271788359,0.247629404,0.259708881,48.95183563,48.20874023,-4.66802597,-5.411121368,0.24542200298177894,0.18864525760047315,0.20869143765017253,0.3249368690971161,5921,5344,5443,5701,360,354,359,362,342,336,342,342,252,258,259,264,0.95,0.9491525423728814,0.9526462395543176,0.9447513812154696,0.7,0.7288135593220338,0.7214484679665738,0.7292817679558011,866,879,854,817,714,816,0.0964694769158106,0.8122866894197952,0.09974330766409974,0.012085499023749113,0.531,0.259,0.11199999999999999,0.138,0.055,0.8079999999999999,0.741,0.19200000000000003,-0.22817410038797,-0.015702144973732332,0.3288016321140235,8469,7989,8181,8100,1924,1860,1943,1900,1387,1356,1436,1396,0.16377376313614359,0.169733383402178,0.17552866397750885,0.17234567901234568,0.008571915876202096,6,Nonmetro,0.927,0.22,0.909,0.044000000000000004,0.057999999999999996,0.14,0.017,0.099,0.057999999999999996,0.013000000000000001,0.049,0.063,0.28,0.083,0.048,0.048,0.059000000000000004,0.027999999999999997,16268,0.158,0.209,0.209,0.228,22.503,56409.312170671714,0.374503668,1.2462000053333333,1.2878070937777777,0.2758148561666667,0.27447269355555554,0.2419238918323852,0.6951813093210026,0.6956894440362479,0.7680479219415797,0.7653829403347229,0.6954855195911414,0.6956894440362479,0.7678009016241586,0,0,0.07422960538504292,0.07478379891743918,0,0,0.07422960538504292,0.6951813093210026,0.7689199118295371,0.8310381028839622,0.8149692030112611,0.6954855195911414,0.7689199118295371,0.8681529055764836,0,0,0.07422960538504292,0.07478379891743918,0,0,0.07422960538504292,Nonmetro,0.86521,0.08581263830833538,0.052495697074010327,0.01622817801819523,0.021022866978116547,1.4567446443353563e-5,0.41931161351559004
KS,0.81,0.13,0.8762,0.287,20007,0.61,Barber,4831,2.007865906,2.152763367,2.111364126,2.214862347,2.235562086,2.235562086,2.235562086,2.256261587,2.256261587,2.276961327,1.138480663,2.069964886,2.049265146,2.090664387,2.132063866,2.132063866,2.069964886,0.765886962,0.786586642,0.827985942,0.848685563,0.827985942,0.827985942,0.848685563,0.931484163,0.662388742,0.786586642,0.749842048,0.600289822,0.620989442,0.745187342,0.745187342,0.641689062,0.620989442,47.16488647,42.38394547,-17.19138336,-21.97232437,0.2439058825000382,0.11183473451498639,0.20911712135777102,0.1830630248434457,1501,1310,1343,1183,225,206,192,179,221,203,189,176,186,172,156,148,0.9822222222222222,0.9854368932038835,0.984375,0.9832402234636871,0.8266666666666667,0.8349514563106796,0.8125,0.8268156424581006,474,513,517,424,446,485,0.11807296017822333,0.8693957115009746,0.14256319811875368,0.04358968081025716,0.6409999999999999,0.215,0.09699999999999999,0.162,0.08900000000000001,0.8759999999999999,0.785,0.12400000000000005,-0.8049308661921328,-0.42511390042381664,0.2589082269382927,3591,3661,3402,3340,1604,1796,1564,1544,1275,1480,1245,1227,0.35505430242272346,0.4042611308385687,0.36596119929453264,0.36736526946107784,0.012310967038354381,9,Nonmetro,0.9109999999999999,0.207,0.924,0.187,0.057,0.076,0.03,0.106,0.057,0.013000000000000001,0.022000000000000002,0.024,0.261,0.055,0.059000000000000004,0.054000000000000006,0.16699999999999998,0.025,4624,0.095,0.17,0.20199999999999999,0.27699999999999997,26.147,134906.90497617106,3.119686214,2.2355620066666666,2.1228639551111113,0.8452356358333333,0.7060879997777778,0.18698019080406034,0.4081935894714498,0.8102921936327955,0.8349731663685152,0.8348768918003162,0.45892591806410526,0.8139991277802006,0.8349731663685152,0,0,0.436046511627907,0.7788570137790829,0,0,0.436046511627907,0.45935045637868815,0.8113824683820323,0.8546511627906976,0.8762141405014683,0.4591381872213967,0.835368512865242,0.8349731663685152,0,0,0.436046511627907,0.7788570137790829,0,0,0.436046511627907,Nonmetro,0.861849,0.26535467128027684,0.11180795847750866,0.03200692041522491,0.03806228373702422,1.5742665776805674e-6,0.33446901354226116
KS,0.9,0.31,0.9306,0.427,20009,0.54,Barton,27214,1.282428145,1.271404386,1.535974145,1.502902865,1.528625011,1.539648652,1.546997905,1.558021665,1.546997905,1.546997905,0.525464833,1.546997905,1.550672412,1.539648652,1.543323278,1.348570585,1.333872318,0.492393613,0.492393613,0.507091939,0.496068209,0.47402072,0.488719046,0.448298663,0.470346153,0.293966353,0.31968841,0.294541657,0.48504445,0.47402072,0.496068209,0.507091939,0.37480709,0.371132493,40.39340591,34.89019012,-12.47784805,-17.98106384,0.19217790741963028,0.24393011151609587,0.29307550378744596,0.2552952042215317,11264,10255,9906,9991,975,959,933,928,944,931,904,893,730,725,706,708,0.9682051282051282,0.9708029197080292,0.9689174705251876,0.9622844827586207,0.7487179487179487,0.7559958289885297,0.7566988210075026,0.7629310344827587,2241,2263,2212,2183,2046,2150,0.10912271932016995,0.9041095890410958,0.11528150134048257,-0.00214763010248753,0.622,0.21600000000000003,0.10300000000000001,0.084,0.095,0.88,0.784,0.12,-0.7365020973679095,-0.4010308559855773,0.2654648808047852,20005,19336,18650,18460,6224,6463,5714,5350,5631,5912,5159,4799,0.2814796300924769,0.3057509309060819,0.2766219839142091,0.259967497291441,-0.02151213280103592,7,Nonmetro,0.895,0.209,0.937,0.086,0.071,0.1,0.027000000000000003,0.09699999999999999,0.057,0.013999999999999999,0.064,0.068,0.23399999999999999,0.08199999999999999,0.052000000000000005,0.048,0.069,0.039,26453,0.132,0.184,0.213,0.24600000000000002,26.586,161937.11207080696,0.705904083,1.5016780696666667,1.4922874634444445,0.44952353349999996,0.4666715628888889,0.24611968173617593,0.7404169468728985,0.7556655083849524,0.9178507142583585,0.9306412195973467,0.749532989613689,0.9187188397038828,0.9312933246524453,0,0.015410182807070554,0.02412776224579679,0.024438496450599326,0.0014570724052902937,0.023719595105000754,0.02412776224579679,0.892251363670328,0.8990406405801481,0.9178507142583585,0.9306412195973467,0.9013674064111186,0.9187188397038828,0.9312933246524453,0.7333557498318762,0.7556655083849524,0.7612117498372334,0.7618992202955894,0.7424717925726668,0.7639749206828826,0.7644670828386504,Nonmetro,0.888772,0.18141609647298984,0.0836200052924054,0.026764450156882016,0.03375798586171701,1.1408521210846369e-5,0.47578671507347364
KS,0.89,0.21,0.9922,0.353,20011,0.55,Bourbon,14751,3.687885523,0.189817637,0.189817637,0.189817637,0.176259235,0.183038443,0.176259235,0.176259235,0.196596846,0.196596846,0.061012812,0.284726471,0.284726471,0.189817637,0.176259235,0.284726471,0.277947247,0.054233611,0.061012812,0.061012812,0.061012812,0.061012812,0.067792013,0.061012812,0.061012812,0.569452882,0.061012812,0.562673688,0.067792013,0.074571215,0.054233611,0.054233611,0.067792013,0.067792013,50.53562164,39.9250946,7.432128906,-3.178398132,0.24792630913465422,0.2950867380886658,0.2518910779991333,0.37070262530797754,4713,4871,4790,4379,359,355,359,352,334,335,339,336,275,261,269,270,0.9303621169916435,0.9436619718309859,0.9442896935933147,0.9545454545454546,0.766016713091922,0.7352112676056338,0.7493036211699164,0.7670454545454546,1027,974,953,990,782,791,0.10711967106686865,0.8028747433264887,0.08249895702962036,-0.13396224294520154,0.5479999999999999,0.252,0.10800000000000001,0.105,0.09,0.8190000000000001,0.748,0.18099999999999994,-0.33570502282603437,0.27329438828514974,0.34166277013375057,9242,9480,9588,9096,2601,2396,2364,2269,1802,1647,1611,1521,0.1949794416792902,0.17373417721518988,0.16802252816020025,0.16721635883905014,-0.027763082840240066,6,Nonmetro,0.9129999999999999,0.217,0.9309999999999999,0.046,0.063,0.147,0.026000000000000002,0.11599999999999999,0.077,0.016,0.064,0.054000000000000006,0.23800000000000002,0.064,0.044000000000000004,0.045,0.062,0.023,14608,0.13699999999999998,0.171,0.21299999999999997,0.239,23.767,99562.1731931572,0.251553407,0.18642804033333332,0.22823311566666665,0.06214267883333333,0.06251930122222223,0.2914016876326077,0,0,0.8917627789531154,0.0014448878491812303,0,0,0,0,0,0,0,0,0,0,0.7357137980473817,0.8886855128465867,1,0.992225127287739,0.8594251382535673,0.8983119788488916,0.9922882686139357,0,0,0,0,0,0,0,Nonmetro,0.880276,0.1041210295728368,0.0652382256297919,0.01848302300109529,0.023001095290251915,8.87559285761357e-6,0.47887529142803714
KS,0.72,0.19,0.7952,0.385,20013,0.56,Brown County,9810,1.620795131,2.130479097,2.17125392,2.222222328,2.212028503,2.232415915,2.232415915,2.232415915,2.242609501,2.273190737,0.723751247,2.038735867,2.02854228,2.0998981,2.110091686,2.038735867,2.02854228,0.560652375,0.601427138,0.642201841,0.621814489,0.611620784,0.560652375,0.570846081,0.601427138,0.305810392,0.3567788,0.191131502,0.581039727,0.540265024,0.550458729,0.601427138,0.601427138,0.601427138,61.39123535,53.54176712,14.38446426,6.534996033,0.033056841217953895,0.1684099531519795,0.145137240180453,0.1830630248434457,3474,3642,3641,3624,266,274,264,258,251,258,249,243,198,204,194,193,0.943609022556391,0.9416058394160584,0.9431818181818182,0.9418604651162791,0.7443609022556391,0.7445255474452555,0.7348484848484849,0.748062015503876,704,711,731,548,674,621,0.07809605244406441,0.9479606188466948,0.0874771094520355,0.07111211292127839,0.5710000000000001,0.24100000000000002,0.10099999999999999,0.07200000000000001,0.114,0.8420000000000001,0.759,0.15799999999999997,-0.5116647140883209,0.2853359105042706,0.3300452841182501,7017,6962,7099,7035,1597,1540,1562,1507,1180,1147,1165,1114,0.1681630326350292,0.1647515081873025,0.1641076207916608,0.15835110163468372,-0.009811931000345497,6,Nonmetro,0.932,0.212,0.94,0.10800000000000001,0.065,0.141,0.02,0.099,0.046,0.028999999999999998,0.031,0.034,0.23199999999999998,0.085,0.051,0.059000000000000004,0.12,0.034,9626,0.139,0.156,0.22399999999999998,0.265,26.031,66620.8695138514,1.194878684,2.22392118,2.1055612034444446,0.5538566111666666,0.5867029164444445,0.13241676484845802,0.0029927760577915376,0.005289907685924696,0.15221921233590333,0.1527603513174404,0.005263157894736842,0.004771289285343844,0.15221921233590333,0,0.0022819209625557515,0.14919774953115233,0.14972814721873692,0.0022703818369453044,0,0.14919774953115233,0.0029927760577915376,0.7175604190436676,0.751927484892686,0.7951693851944793,0.03673890608875129,0.7359195104242299,0.7943321525317775,0,0.0022819209625557515,0.14919774953115233,0.14972814721873692,0.0022703818369453044,0,0.14919774953115233,Nonmetro,0.881824,0.11572823602742573,0.07594016206108456,0.020049864949096198,0.025244130479950135,6.510432188101577e-6,0.33587118570650915
KS,0.72,0.3,0.9448,0.44,20015,0.5,Butler,66264,2.825063467,4.628455639,4.851804733,4.832186222,4.916697025,4.903114796,4.924242496,4.928769588,4.933297157,4.97102499,2.127852201,4.922733307,4.921224117,4.860859394,4.854823112,4.909151077,4.906133175,1.066944361,1.107690454,1.146927476,1.098635793,1.04883492,1.042798519,1.002052426,1.082035542,0.59760958,0.950742483,0.595809817,1.033743858,1.035252929,1.107690454,1.119763374,0.996015966,0.999034166,71.43648529,57.9498558,-1.484519958,-14.97114944,0.20697901586718873,0.24606565377205894,0.30313045967758945,0.3074724116266837,13125,13659,13705,13923,1291,1348,1343,1313,1247,1303,1300,1267,1008,1037,1036,1005,0.9659178931061193,0.9666172106824926,0.9679821295606851,0.964965727341965,0.7807900852052673,0.7692878338278932,0.7714072970960536,0.7654226961157654,4030,4355,4380,3283,4273,3950,0.11438227301233364,0.9811710677382319,0.1319525638884249,0.08718628550709862,0.59,0.18,0.12,0.11800000000000001,0.059000000000000004,0.892,0.82,0.10799999999999997,-0.9222373270336577,-0.9790239225033445,0.2113366358863256,28702,29870,29935,29831,8782,9631,9499,8982,7643,8547,8411,7899,0.2662880635495784,0.2861399397388684,0.280975446801403,0.2647916596828802,-0.0014964038666981927,2,Metro,0.925,0.298,0.8959999999999999,0.023,0.08,0.152,0.031,0.092,0.06,0.01,0.052000000000000005,0.07400000000000001,0.272,0.078,0.035,0.040999999999999995,0.053,0.038,66698,0.157,0.17300000000000001,0.258,0.21899999999999997,32.402,39199.58081513905,-0.564581945,4.881484111,4.886179129111111,1.0375166138333334,1.0681181153333332,0.2659118852358802,0.6689508965228945,0.6758425790244924,0.6980154272448139,0.894647954684721,0.6782221824099371,0.6759621998265498,0.8070545944731521,0.006001701975186994,0.034899369000269145,0.03401482812851045,0.037020430734280886,0.031785133097445545,0.03419659678818147,0.03401482812851045,0.7010346217584091,0.7204013277909028,0.751861005017599,0.9448355228743517,0.7096788641555067,0.7299410867549867,0.999760353478619,0.6689508965228945,0.675812673823978,0.6754287426046581,0.6810444035929397,0.6782221824099371,0.6759472472262926,0.6792481090391672,Metro,0.865688,0.1184293382110408,0.06566913550631204,0.015067918078503103,0.01899607184623227,1.8012773328073605e-5,0.5034421059540292
KS,0.13,0.04,0.1847,0.101,20017,0.62,Chase,2694,3.229398727,3.155159712,3.452115774,3.266518116,3.340757132,3.229398727,3.452115774,3.452115774,3.452115774,3.489235401,1.336302876,3.043801069,3.229398727,3.229398727,3.377876759,3.080920458,3.080920458,0.593912423,0.705270946,0.668151438,0.668151438,0.593912423,0.48255381,0.519673347,0.593912423,0.556792855,0.48255381,0.427033126,0.556792855,0.556792855,0.556792855,0.593912423,0.668151438,0.668151438,41.510826109999996,57.99572372,-7.715454102,8.769443512,0.09054699985787372,0,0.2570019114657824,0,410,528,513,515,73,66,68,66,72,65,67,63,62,55,59,58,0.9863013698630136,0.9848484848484849,0.9852941176470589,0.9545454545454546,0.8493150684931506,0.8333333333333334,0.8676470588235294,0.8787878787878788,223,226,232,191,200,208,0.11819306930693069,0.8849557522123894,0.12388326384752829,0.04004948198546465,0.41100000000000003,0.292,0.12,0.17300000000000001,0.10300000000000001,0.8220000000000001,0.708,0.17799999999999996,0.17262297415390573,0.393709610476352,0.3862241241233619,1616,1613,1679,1726,638,604,634,624,416,405,433,425,0.25742574257425743,0.25108493490390577,0.2578916021441334,0.246234067207416,-0.01119167536684143,9,Nonmetro,0.9179999999999999,0.255,0.9259999999999999,0.092,0.069,0.195,0.025,0.086,0.044000000000000004,0,0.023,0.049,0.24100000000000002,0.066,0.035,0.075,0.09699999999999999,0.045,2637,0.14600000000000002,0.14300000000000002,0.226,0.272,24.442,93388.63268495469,0.454350676,3.371690193666667,3.2335230244444446,0.5567928751666666,0.6186587412222222,0.08688722783091403,0,0.021252796420581657,0.02130087485736021,0.07401812688821752,0,0.021998508575689784,0.06618486116394066,0,0,0.02130087485736021,0.021148036253776436,0,0.020879940343027592,0.02130087485736021,0.12823397075365578,0.13049962714392244,0.1308482312666413,0.1846676737160121,0.12260967379077616,0.13124533929903057,0.17611259033853177,0,0.0022371364653243847,0.02130087485736021,0.0256797583081571,0,0.020879940343027592,0.02130087485736021,Nonmetro,0.866576,0.16116799393249906,0.08797876374668183,0.021994690936670457,0.023890784982935155,1.3170516909375437e-6,0.12484674554528215
KS,0.18,0.04,0.2951,0.122,20019,0.6,Chautauqua,3470,2.507204533,3.025936604,3.025936604,2.968299627,3.112391949,3.025936604,2.968299627,2.968299627,2.795388937,2.824207544,2.420749187,2.939481258,2.939481258,2.997118235,3.025936604,2.939481258,2.910662889,1.26801157,1.296829939,1.354466915,1.325648427,1.123919368,1.152737737,1.09510088,1.123919368,1.296829939,1.296829939,1.296829939,1.09510088,1.123919368,1.26801157,1.296829939,0.864553332,0.605187297,30.7498703,27.42700195,-19.92100906,-23.24387741,0,0.10224890012798755,0.14777609909282485,0.22466825776241062,513,453,457,466,75,61,63,64,74,59,62,63,60,45,49,49,0.9866666666666667,0.9672131147540983,0.9841269841269841,0.984375,0.8,0.7377049180327869,0.7777777777777778,0.765625,305,292,279,285,271,247,0.1533907427341227,0.928082191780822,0.14580873671782763,-0.049121570009988846,0.366,0.373,0.155,0.12,0.11599999999999999,0.778,0.627,0.22200000000000003,1.3065854289553112,1.080076376966201,0.5152375787965221,1858,1790,1694,1700,917,939,847,830,647,686,592,577,0.34822389666307857,0.38324022346368714,0.34946871310507677,0.33941176470588236,-0.008812131957196212,8,Nonmetro,0.866,0.159,0.963,0.166,0.11199999999999999,0.07400000000000001,0.018000000000000002,0.057999999999999996,0.051,0.021,0.032,0.032,0.311,0.037000000000000005,0.032,0.057,0.133,0.068,3323,0.126,0.149,0.19799999999999998,0.287,22.456,100425.41038095191,0.869131154,2.9346781571666667,2.9843099646666666,1.1863592864999999,1.1303234233333332,0.11867331424580575,0,0,6.044122091266244e-4,6.153846153846154e-4,0,5.947071067499256e-4,6.044122091266244e-4,0,0,0,0,0,0,0,0,0.18138566755872731,0.1885766092475068,0.29507692307692307,0,0.1855486173059768,0.2532487156240556,0,0,0,0,0,0,0,Nonmetro,0.843283,0.17363827866385795,0.0839602768582606,0.014745711706289497,0.018958772193800783,2.0082261293515575e-6,0.16933188286801815
