county_FIPS;emp_cbp;est_cbp;est_50_cbp;est_10_cbp;year;pct_50_est_cbp;pct_10_est_cbp;county.x;county.y;county;ST
20001;4475;385;373;305;2014;0,968831168831169;0,792207792207792;Anderson;Androscoggin;Allen;KS
20003;1522;208;202;175;2014;0,971153846153846;0,841346153846154;Andrews;Aroostook;Anderson;KS
20005;5702;353;334;251;2014;0,946175637393768;0,711048158640227;Angelina;Cumberland;Atchison;KS
20007;1521;207;203;167;2014;0,980676328502415;0,806763285024155;Aransas;Franklin;Barber;KS
20009;12674;975;943;740;2014;0,967179487179487;0,758974358974359;Archer;Hancock;Barton;KS
20011;4732;349;327;260;2014;0,936962750716332;0,744985673352435;Armstrong;Kennebec;Bourbon;KS
20013;3416;261;246;189;2014;0,942528735632184;0,724137931034483;Atascosa;Knox;Brown;KS
20015;13420;1298;1254;989;2014;0,966101694915254;0,761941448382126;Austin;Lincoln;Butler;KS
20017;504;71;70;59;2014;0,985915492957746;0,830985915492958;Bailey;Oxford;Chase;KS
20019;456;72;72;56;2014;1,000000000000000;0,777777777777778;Bandera;Penobscot;Chautauqua;KS
20021;5596;345;323;239;2014;0,936231884057971;0,692753623188406;Bastrop;Piscataquis;Cherokee;KS
20023;556;103;102;88;2014;0,990291262135922;0,854368932038835;Baylor;Sagadahoc;Cheyenne;KS
20025;374;64;62;58;2014;0,968750000000000;0,906250000000000;Bee;Somerset;Clark;KS
20027;2424;260;253;197;2014;0,973076923076923;0,757692307692308;Bell;Waldo;Clay;KS
20029;2950;308;297;242;2014;0,964285714285714;0,785714285714286;Bexar;Washington;Cloud;KS
20031;3750;240;231;190;2014;0,962500000000000;0,791666666666667;Blanco;York;Coffey;KS
20033;448;79;77;69;2014;0,974683544303797;0,873417721518987;Borden;NA;Comanche;KS
20035;11338;751;717;547;2014;0,954727030625832;0,728362183754993;Bosque;NA;Cowley;KS
20037;13948;892;842;623;2014;0,943946188340807;0,698430493273543;Bowie;NA;Crawford;KS
20039;606;102;100;88;2014;0,980392156862745;0,862745098039216;Brazoria;NA;Decatur;KS
20041;4994;467;455;369;2014;0,974304068522484;0,790149892933619;Brazos;NA;Dickinson;KS
20043;1447;156;150;121;2014;0,961538461538462;0,775641025641026;Brewster;NA;Doniphan;KS
20045;38850;2675;2551;1904;2014;0,953644859813084;0,711775700934579;Briscoe;NA;Douglas;KS
20047;619;88;85;77;2014;0,965909090909091;0,875000000000000;Brooks;NA;Edwards;KS
20049;343;72;71;65;2014;0,986111111111111;0,902777777777778;Brown;NA;Elk;KS
20051;13745;1142;1102;852;2014;0,964973730297723;0,746059544658494;Burleson;NA;Ellis;KS
20053;1627;163;157;123;2014;0,963190184049080;0,754601226993865;Burnet;NA;Ellsworth;KS
20055;14921;1003;954;731;2014;0,951146560319043;0,728813559322034;Caldwell;NA;Finney;KS
20057;15278;766;725;531;2014;0,946475195822454;0,693211488250653;Calhoun;NA;Ford;KS
20059;8524;571;545;424;2014;0,954465849387040;0,742556917688266;Callahan;NA;Franklin;KS
20061;7918;573;547;403;2014;0,954624781849913;0,703315881326352;Cameron;NA;Geary;KS
20063;991;131;128;106;2014;0,977099236641221;0,809160305343511;Camp;NA;Gove;KS
20065;744;103;100;85;2014;0,970873786407767;0,825242718446602;Carson;NA;Graham;KS
20067;2469;223;209;173;2014;0,937219730941704;0,775784753363229;Cass;NA;Grant;KS
20069;1630;219;214;189;2014;0,977168949771689;0,863013698630137;Castro;NA;Gray;KS
20071;339;45;44;39;2014;0,977777777777778;0,866666666666667;Chambers;NA;Greeley;KS
20073;1152;183;180;154;2014;0,983606557377049;0,841530054644809;Cherokee;NA;Greenwood;KS
20075;607;67;64;52;2014;0,955223880597015;0,776119402985075;Childress;NA;Hamilton;KS
20077;1842;211;204;166;2014;0,966824644549763;0,786729857819905;Clay;NA;Harper;KS
20079;13741;762;718;546;2014;0,942257217847769;0,716535433070866;Cochran;NA;Harvey;KS
20081;815;120;119;99;2014;0,991666666666667;0,825000000000000;Coke;NA;Haskell;KS
20083;291;47;46;40;2014;0,978723404255319;0,851063829787234;Coleman;NA;Hodgeman;KS
20085;2933;254;247;201;2014;0,972440944881890;0,791338582677165;Collin;NA;Jackson;KS
20087;2285;303;296;253;2014;0,976897689768977;0,834983498349835;Collingsworth;NA;Jefferson;KS
20089;496;83;80;72;2014;0,963855421686747;0,867469879518072;Colorado;NA;Jewell;KS
20091;322765;17423;16174;12145;2014;0,928313149285427;0,697067095218963;Comal;NA;Johnson;KS
20093;651;81;79;73;2014;0,975308641975309;0,901234567901235;Comanche;NA;Kearny;KS
20095;1837;210;202;169;2014;0,961904761904762;0,804761904761905;Concho;NA;Kingman;KS
20097;832;94;92;76;2014;0,978723404255319;0,808510638297872;Cooke;NA;Kiowa;KS
20099;9128;462;429;314;2014;0,928571428571429;0,679653679653680;Coryell;NA;Labette;KS
20101;332;66;65;58;2014;0,984848484848485;0,878787878787879;Cottle;NA;Lane;KS
20103;14022;1221;1170;939;2014;0,958230958230958;0,769041769041769;Crane;NA;Leavenworth;KS
20105;449;92;91;82;2014;0,989130434782609;0,891304347826087;Crockett;NA;Lincoln;KS
20107;1225;193;191;165;2014;0,989637305699482;0,854922279792746;Crosby;NA;Linn;KS
20109;710;115;114;96;2014;0,991304347826087;0,834782608695652;Culberson;NA;Logan;KS
20111;11250;810;774;588;2014;0,955555555555556;0,725925925925926;Dallam;NA;Lyon;KS
20113;14543;896;851;668;2014;0,949776785714286;0,745535714285714;Dallas;NA;McPherson;KS
20115;2652;289;284;232;2014;0,982698961937716;0,802768166089965;Dawson;NA;Marion;KS
20117;4347;368;357;280;2014;0,970108695652174;0,760869565217391;Deaf Smith;NA;Marshall;KS
20119;906;130;128;110;2014;0,984615384615385;0,846153846153846;Delta;NA;Meade;KS
20121;6671;713;697;580;2014;0,977559607293128;0,813464235624123;Denton;NA;Miami;KS
20123;2629;247;242;188;2014;0,979757085020243;0,761133603238866;DeWitt;NA;Mitchell;KS
20125;12692;825;785;593;2014;0,951515151515152;0,718787878787879;Dickens;NA;Montgomery;KS
20127;1251;138;134;105;2014;0,971014492753623;0,760869565217391;Dimmit;NA;Morris;KS
20129;898;112;110;93;2014;0,982142857142857;0,830357142857143;Donley;NA;Morton;KS
20131;4700;370;352;264;2014;0,951351351351351;0,713513513513514;Duval;NA;Nemaha;KS
20133;5161;447;427;335;2014;0,955257270693512;0,749440715883669;Eastland;NA;Neosho;KS
20135;1081;154;151;126;2014;0,980519480519481;0,818181818181818;Ector;NA;Ness;KS
20137;1838;176;168;134;2014;0,954545454545455;0,761363636363636;Edwards;NA;Norton;KS
20139;2686;265;260;216;2014;0,981132075471698;0,815094339622642;Ellis;NA;Osage;KS
20141;1103;152;148;126;2014;0,973684210526316;0,828947368421053;El Paso;NA;Osborne;KS
20143;858;133;130;115;2014;0,977443609022556;0,864661654135338;Erath;NA;Ottawa;KS
20145;1905;157;153;128;2014;0,974522292993631;0,815286624203822;Falls;NA;Pawnee;KS
20147;1738;241;235;198;2014;0,975103734439834;0,821576763485477;Fannin;NA;Phillips;KS
20149;8314;568;537;420;2014;0,945422535211268;0,739436619718310;Fayette;NA;Pottawatomie;KS
20151;3699;390;380;292;2014;0,974358974358974;0,748717948717949;Fisher;NA;Pratt;KS
20153;641;105;103;90;2014;0,980952380952381;0,857142857142857;Floyd;NA;Rawlins;KS
20155;22803;1631;1539;1194;2014;0,943592887798896;0,732066217044758;Foard;NA;Reno;KS
20157;1395;192;189;155;2014;0,984375000000000;0,807291666666667;Fort Bend;NA;Republic;KS
20159;2760;267;257;207;2014;0,962546816479401;0,775280898876405;Franklin;NA;Rice;KS
20161;20662;1608;1524;1131;2014;0,947761194029851;0,703358208955224;Freestone;NA;Riley;KS
20163;1603;198;193;152;2014;0,974747474747475;0,767676767676768;Frio;NA;Rooks;KS
20165;1100;101;95;84;2014;0,940594059405941;0,831683168316832;Gaines;NA;Rush;KS
20167;1993;272;265;222;2014;0,974264705882353;0,816176470588235;Galveston;NA;Russell;KS
20169;27229;1537;1431;1031;2014;0,931034482758621;0,670787247885491;Garza;NA;Saline;KS
20171;1387;199;197;169;2014;0,989949748743719;0,849246231155779;Gillespie;NA;Scott;KS
20173;227564;11852;11038;8001;2014;0,931319608504894;0,675075936550793;Glasscock;NA;Sedgwick;KS
20175;10036;556;538;404;2014;0,967625899280576;0,726618705035971;Goliad;NA;Seward;KS
