ST,pct_broadband_FCC,pct_broadband_MS,county_FIPS,IRR2010,county.x,population_2018,venturedensityoct18,venturedensityjan19,venturedensitymar20,venturedensityfeb20,venturedensityjan20,venturedensitydec19,venturedensitynov19,venturedensityoct19,venturedensitysep19,venturedensityaug19,venturedensityapr18,venturedensityjul20,venturedensityjun20,venturedensitymay20,venturedensityapr20,venturedensityaug20,venturedensitysep20,highlyactivemar20,highlyactivefeb20,highlyactivejan20,highlyactivedec19,highlyactivenov19,highlyactiveoct19,highlyactivesep19,highlyactiveaug19,highlyactiveoct18,highlyactivejan19,highlyactiveapr18,highlyactivejul20,highlyactivejun20,highlyactivemay20,highlyactiveapr20,highlyactiveaug20,highlyactivesep20,prosperityindex2016,prosperityindex2018,change_prosperity_07_16,change_prosperity_07_18,frac_BB.sept,frac_BB.oct,frac_BB.nov,frac_BB.dec,emp_cbp_2012,emp_cbp_2017,emp_cbp_2018,est_cbp_2012,est_cbp_2017,est_cbp_2018,est_50_cbp_2012,est_50_cbp_2017,est_50_cbp_2018,est_10_cbp_2012,est_10_cbp_2017,est_10_cbp_2018,pct_50_est_cbp_2012,pct_50_est_cbp_2017,pct_50_est_cbp_2018,pct_10_est_cbp_2012,pct_10_est_cbp_2017,pct_10_est_cbp_2018,neest_nemp_2012,neest_nemp_2017,neest_nemp_2018,nonfarmneest_nemp_2012,nonfarmneest_nemp_2017,nonfarmneest_nemp_2018,pct_nonfarmneest_nemp_2012,pct_nonfarmneest_nemp_2017,pct_nonfarmneest_nemp_2018,chg_pct_nonfarmneest_nemp_2012_2018,pct_fixed_acs_2018,pct_nobroadband_acs_2018,pct_cellularonly_acs_2018,pct_sat_acs_2018,pct_mobileonly_acs_2018,pct_anycomputer_acs_2018,pct_anybroadband_acs_2018,pct_nocomputer_acs_2018,distress_subscription,distress_devices,digital_distress,totalemp_bea_2012,totalemp_bea_2017,totalemp_bea_2018,proprietors_bea_2012,proprietors_bea_2017,proprietors_bea_2018,nonfarmproprietors_bea_2012,nonfarmproprietors_bea_2017,nonfarmproprietors_bea_2018,pct_nonfarm_bea_2012,pct_nonfarm_bea_2017,pct_nonfarm_bea_2018,pct_chg_bea_2012_2018,emp_abs_2012,firm_2012,emp_abs_2017,firm_2017,chg_firm_2012_2017,RUCC_2013,metro_desc,pctlessthanhigh_2018,pctbachelors_2018,pctgraduate_2018,pctagriculture_2018,pctconstruction_2018,pctmanufacture_2018,pctwholesale_2018,pctretail_2018,pcttransportation_2018,pctinformation_2018,pctfinance_2018,pctprofessional_2018,pctedu_healthcare_social_2018,pctarts_ent_2018,pctother_occupation_2018,pctpublic_admin_2018,pct_self_employed_2018,pct_unemployment_2018,pct_genz_2018,pct_millennial_2018,pct_genx_2018,pct_boomers_2018,vd_mean_19,vd_mean_20,havd_mean_19,havd_mean_20,pct_broadband_mlab,pct_bb_fcc_2019,pct_bb_fcc_50_5_2019,pct_bb_fcc_100_10_2019,pct_bb_fcc_250_25_2019,metro_f,indstry_diversity,nonfarmprop_percapita,est_10_cbp_percapita,est_50_cbp_percapita
KS,0.96,0.28,20001,0.55,Allen County,12951,0.957455039,0.123542584,0.13898541,0.115821175,0.115821175,0.115821175,0.115821175,0.115821175,0.115821175,0.108099759,0.054049879,0.154428229,0.154428229,0.162149638,0.14670682,0.169871047,0.169871047,0.015442823,0.015442823,0.015442823,0.023164235,0.015442823,0.015442823,0.030885646,0.030885646,0.162149653,0.04632847,0.162149653,0.030885646,0.030885646,0.030885646,0.023164235,0.030885646,0.030885646,49.4897728,47.5003891,-8.516494751,-10.50587845,0.2063819005769554,0.16623692149840558,0.39521514873662467,0.428557948332922,4481,4346,4244,379,379,382,367,369,373,296,296,302,0.9683377308707124,0.9736147757255936,0.9764397905759162,0.7810026385224275,0.7810026385224275,0.7905759162303665,916,831,804,742,769,681,0.08677347678634077,0.9253910950661853,0.08440753594447199,0.03697125725086359,55,26.4,8.5,10.9,6.5,81.9,73.6,18.099999999999994,-0.5375839993533662,0.01837825886311717,30.879978693871905,8551,8064,8068,2318,2130,2034,1750,1614,1515,0.2046544263828792,0.20014880952380953,0.18777887952404562,-0.01687554685883358,4481,395,4017,305,-90,7,Nonmetro,0.08099999999999995,0.128,0.077,0.054000000000000006,0.052000000000000005,0.217,0.024,0.106,0.05,0.011000000000000001,0.07200000000000001,0.032,0.273,0.039,0.051,0.017,0.07200000000000001,0.046,0.138,0.16,0.23399999999999999,0.256,0.11582117383333333,0.14756475222222223,0.027024940499999997,0.024880103777777777,0.29909797978622693,1,0.7770813243330119,0.74799099967856,0.6528447444551592,Nonmetro,0.849231,0.11697938383136437,0.0233186626515327,0.02880086479808509
KS,0.98,0.06,20003,0.57,Anderson,7858,0.941715479,1.997963905,2.23975563,2.201577902,2.188852072,2.176126242,2.188852072,2.125222683,2.125222683,2.137948513,0.789004862,2.303385019,2.265207529,2.252481461,2.252481461,2.303385019,2.290659189,0.470857739,0.483583599,0.521761239,0.509035349,0.559938908,0.496309489,0.43268007000000003,0.521761239,0.22906591,0.407228291,0.187070504,0.496309489,0.43268007000000003,0.470857739,0.483583599,0.470857739,0.419954181,43.79876709,47.65581512,-5.317497253,-1.460449219,0.04958526182693084,0.009543230678612171,0.14487852852237731,0.10591503580227929,1432,1435,1429,216,201,202,212,197,198,179,169,172,0.9814814814814815,0.9800995024875622,0.9801980198019802,0.8287037037037037,0.8407960199004975,0.8514851485148515,611,634,622,569,604,523,0.14556152468662062,0.9526813880126183,0.1342747111681643,-0.09042421627083319,44.5,31.1,11.4,13.7,4.1,78.1,68.9,21.900000000000006,0.21000768511872045,0.1934887108256734,37.31224055543629,3909,3881,3895,1758,1613,1637,1133,1027,1047,0.28984394985929907,0.26462251996908015,0.268806161745828,-0.021037788113471068,850,120,1629,191,71,6,Nonmetro,0.08700000000000002,0.111,0.064,0.134,0.067,0.08800000000000001,0.035,0.10400000000000001,0.055999999999999994,0.02,0.02,0.06,0.273,0.059000000000000004,0.06,0.026000000000000002,0.11900000000000001,0.028999999999999998,0.16,0.14,0.225,0.244,2.125222683,2.2553094757777776,0.4878255576666667,0.47227171044444444,0.07748051420754991,1,0.4763899466869764,0.3827113480578827,0,Nonmetro,0.871429,0.13324001018070755,0.02188852125222703,0.025197251208959024
KS,0.77,0.18,20005,0.53,Atchison,16557,1.038835526,1.147550941,1.274385452,1.304584146,1.310623884,1.292504668,1.304584146,1.244186759,1.244186759,1.244186759,0.585854948,1.280425191,1.28646493,1.304584146,1.274385452,1.274385452,1.280425191,0.271788359,0.289907604,0.295947343,0.283867836,0.271788359,0.271788359,0.283867836,0.295947343,0.229510188,0.247629404,0.240247503,0.271788359,0.283867836,0.277828097,0.271788359,0.247629404,0.259708881,48.95183563,48.20874023,-4.66802597,-5.411121368,0.24542200298177894,0.18864525760047315,0.20869143765017253,0.3249368690971161,5921,5344,5443,360,354,359,342,336,342,252,258,259,0.95,0.9491525423728814,0.9526462395543176,0.7,0.7288135593220338,0.7214484679665738,866,879,854,661,863,764,0.07804935647656158,0.981797497155859,0.09335288367546432,0.13133413741069067,53.7,27.8,8.9,12.6,3.7,80.8,72.2,19.200000000000003,-0.3605228109257663,-0.19425586137712678,30.631995727790734,8469,7992,8184,1924,1865,1943,1387,1361,1436,0.16377376313614359,0.1702952952952953,0.17546432062561096,0.011690557489467374,6204,289,5931,316,27,6,Nonmetro,0.07599999999999994,0.14,0.08,0.048,0.055999999999999994,0.16699999999999998,0.016,0.09699999999999999,0.04,0.006999999999999999,0.053,0.051,0.294,0.08199999999999999,0.043,0.046,0.067,0.046,0.166,0.207,0.212,0.22,1.2462000053333333,1.2878070937777777,0.2758148561666667,0.27447269355555554,0.2419238918323852,0.8163403939974063,0.8155375779657877,0.7671215957512505,0.07422960538504292,Nonmetro,0.859546,0.08673068792655675,0.015642930482575347,0.020655915926798333
KS,0.81,0.13,20007,0.61,Barber,4831,2.007865906,2.152763367,2.111364126,2.214862347,2.235562086,2.235562086,2.235562086,2.256261587,2.256261587,2.276961327,1.138480663,2.069964886,2.049265146,2.090664387,2.132063866,2.132063866,2.069964886,0.765886962,0.786586642,0.827985942,0.848685563,0.827985942,0.827985942,0.848685563,0.931484163,0.662388742,0.786586642,0.749842048,0.600289822,0.620989442,0.745187342,0.745187342,0.641689062,0.620989442,47.16488647,42.38394547,-17.19138336,-21.97232437,0.2439058825000382,0.11183473451498639,0.20911712135777102,0.1830630248434457,1501,1310,1343,225,206,192,221,203,189,186,172,156,0.9822222222222222,0.9854368932038835,0.984375,0.8266666666666667,0.8349514563106796,0.8125,474,513,517,433,456,485,0.12057922584238373,0.8888888888888888,0.1426470588235294,0.02460233903810527,63.4,25.5,5.6,17.9,8.1,87.8,74.5,12.200000000000003,-0.9113798415894091,-0.5194609864504423,24.52486649269347,3591,3662,3400,1604,1797,1563,1275,1481,1244,0.35505430242272346,0.4044238121245221,0.3658823529411765,0.010828050518453036,1750,211,954,172,-39,9,Nonmetro,0.085,0.107,0.077,0.185,0.059000000000000004,0.07,0.039,0.136,0.066,0.016,0.028999999999999998,0.018000000000000002,0.23800000000000002,0.05,0.045,0.049,0.138,0.017,0.094,0.17799999999999996,0.19299999999999998,0.28600000000000003,2.2355620066666666,2.1228639551111113,0.8452356358333333,0.7060879997777778,0.18698019080406034,0.8770125223613596,0.8770125223613596,0.8358676207513417,0.7804114490161002,Nonmetro,0.87053,0.25750362243841857,0.03229145104533223,0.039122334920306354
KS,0.9,0.31,20009,0.54,Barton,27214,1.282428145,1.271404386,1.535974145,1.502902865,1.528625011,1.539648652,1.546997905,1.558021665,1.546997905,1.546997905,0.525464833,1.546997905,1.550672412,1.539648652,1.543323278,1.348570585,1.333872318,0.492393613,0.492393613,0.507091939,0.496068209,0.47402072,0.488719046,0.448298663,0.470346153,0.293966353,0.31968841,0.294541657,0.48504445,0.47402072,0.496068209,0.507091939,0.37480709,0.371132493,40.39340591,34.89019012,-12.47784805,-17.98106384,0.19217790741963028,0.24393011151609587,0.29307550378744596,0.2552952042215317,11264,10255,9906,975,959,933,944,931,904,730,725,706,0.9682051282051282,0.9708029197080292,0.9689174705251876,0.7487179487179487,0.7559958289885297,0.7566988210075026,2241,2263,2212,2168,2184,2150,0.10837290677330667,0.965090587715422,0.11528768298568288,0.004545810325892741,58.7,26.3,8.2,8.5,7.6,85.3,73.7,14.700000000000003,-0.5769309301150548,-0.26930319793250707,28.600226494465574,20005,19331,18649,6224,6464,5712,5631,5913,5157,0.2814796300924769,0.30588174434845583,0.2765295726312403,-0.004950057461236612,10541,787,11704,929,142,7,Nonmetro,0.11400000000000006,0.125,0.059000000000000004,0.08900000000000001,0.077,0.094,0.027000000000000003,0.092,0.065,0.013999999999999999,0.065,0.054000000000000006,0.239,0.086,0.05,0.046,0.075,0.039,0.131,0.184,0.22,0.24,1.5016780696666667,1.4922874634444445,0.44952353349999996,0.4666715628888889,0.24611968173617593,0.9312933246524453,0.9312933246524453,0.9312933246524453,0.7644670828386504,Nonmetro,0.894822,0.18949805247299184,0.025942529580363048,0.03321819651649886
KS,0.89,0.21,20011,0.55,Bourbon,14751,3.687885523,0.189817637,0.189817637,0.189817637,0.176259235,0.183038443,0.176259235,0.176259235,0.196596846,0.196596846,0.061012812,0.284726471,0.284726471,0.189817637,0.176259235,0.284726471,0.277947247,0.054233611,0.061012812,0.061012812,0.061012812,0.061012812,0.067792013,0.061012812,0.061012812,0.569452882,0.061012812,0.562673688,0.067792013,0.074571215,0.054233611,0.054233611,0.067792013,0.067792013,50.53562164,39.9250946,7.432128906,-3.178398132,0.24792630913465422,0.2950867380886658,0.2518910779991333,0.37070262530797754,4713,4871,4790,359,355,359,334,335,339,275,261,269,0.9303621169916435,0.9436619718309859,0.9442896935933147,0.766016713091922,0.7352112676056338,0.7493036211699164,1027,974,953,993,825,788,0.10744427613070764,0.8470225872689938,0.082186065915728,-0.14003132627861992,49.9,32.2,8.6,9.6,8.1,79.6,67.8,20.400000000000006,0.042783229381543615,0.5061859464730925,38.32634790076883,9242,9478,9588,2601,2396,2364,1802,1647,1611,0.1949794416792902,0.1737708377294788,0.16802252816020025,-0.026956913519089964,4075,295,4571,280,-15,6,Nonmetro,0.08799999999999997,0.13699999999999998,0.069,0.05,0.075,0.12300000000000001,0.033,0.113,0.066,0.016,0.066,0.061,0.256,0.069,0.040999999999999995,0.032,0.063,0.025,0.141,0.17300000000000001,0.213,0.237,0.18642804033333332,0.22823311566666665,0.06214267883333333,0.06251930122222223,0.2914016876326077,0.9922882686139357,0.6605473281921791,0.0014331536204190269,0,Nonmetro,0.881958,0.10921293471629043,0.018236051793098774,0.0229814927801505
KS,0.72,0.19,20013,0.56,Brown County,9810,1.620795131,2.130479097,2.17125392,2.222222328,2.212028503,2.232415915,2.232415915,2.232415915,2.242609501,2.273190737,0.723751247,2.038735867,2.02854228,2.0998981,2.110091686,2.038735867,2.02854228,0.560652375,0.601427138,0.642201841,0.621814489,0.611620784,0.560652375,0.570846081,0.601427138,0.305810392,0.3567788,0.191131502,0.581039727,0.540265024,0.550458729,0.601427138,0.601427138,0.601427138,61.39123535,53.54176712,14.38446426,6.534996033,0.033056841217953895,0.1684099531519795,0.145137240180453,0.1830630248434457,3474,3642,3641,266,274,264,251,258,249,198,204,194,0.943609022556391,0.9416058394160584,0.9431818181818182,0.7443609022556391,0.7445255474452555,0.7348484848484849,704,711,731,676,674,700,0.0963374661536269,0.9479606188466948,0.09860543738554726,-0.002634933465986755,55.5,26.2,9,7,8.2,82.4,73.8,17.599999999999994,-0.5080738012820992,0.1684729319738782,32.13202474149388,7017,6961,7099,1597,1541,1562,1180,1148,1165,0.1681630326350292,0.16491883350093378,0.1641076207916608,-0.004055411843368412,3378,244,3750,NA,NA,6,Nonmetro,0.07400000000000005,0.15,0.068,0.078,0.069,0.15,0.019,0.10800000000000001,0.04,0.024,0.027999999999999997,0.042,0.251,0.08199999999999999,0.055,0.055,0.11,0.036000000000000004,0.134,0.155,0.23,0.259,2.22392118,2.1055612034444446,0.5538566111666666,0.5867029164444445,0.13241676484845802,0.7953740362575537,0.21035632423421546,0.15221921233590333,0.14919774953115233,Nonmetro,0.8808549999999999,0.11875637104994903,0.019775739041794086,0.025382262996941896
KS,0.72,0.3,20015,0.5,Butler,66264,2.825063467,4.628455639,4.851804733,4.832186222,4.916697025,4.903114796,4.924242496,4.928769588,4.933297157,4.97102499,2.127852201,4.922733307,4.921224117,4.860859394,4.854823112,4.909151077,4.906133175,1.066944361,1.107690454,1.146927476,1.098635793,1.04883492,1.042798519,1.002052426,1.082035542,0.59760958,0.950742483,0.595809817,1.033743858,1.035252929,1.107690454,1.119763374,0.996015966,0.999034166,71.43648529,57.9498558,-1.484519958,-14.97114944,0.20697901586718873,0.24606565377205894,0.30313045967758945,0.3074724116266837,13125,13659,13705,1291,1348,1343,1247,1303,1300,1008,1037,1036,0.9659178931061193,0.9666172106824926,0.9679821295606851,0.7807900852052673,0.7692878338278932,0.7714072970960536,4030,4355,4380,3961,4245,4230,0.13800432025642811,0.9747416762342136,0.14128256513026052,-0.017124987253135715,58.6,19.1,11.9,10.7,4.7,88.1,80.9,11.900000000000006,-0.9212165742798315,-0.9822528952086222,21.230118312289566,28702,29852,29940,8782,9625,9503,7643,8541,8415,0.2662880635495784,0.28611148331770064,0.28106212424849697,0.014774060698918567,12414,1019,13739,1125,106,2,Metro,0.075,0.193,0.09699999999999999,0.027000000000000003,0.078,0.155,0.033,0.09,0.054000000000000006,0.01,0.051,0.073,0.272,0.073,0.04,0.045,0.055999999999999994,0.042,0.15899999999999997,0.17600000000000002,0.259,0.215,4.881484111,4.886179129111111,1.0375166138333334,1.0681181153333332,0.2659118852358802,0.9451059686961731,0.9180259117801243,0.8950797573578971,0.6818243091440126,Metro,0.871418,0.12699203187250996,0.015634431969093324,0.019618495714113244
KS,0.13,0.04,20017,0.62,Chase,2694,3.229398727,3.155159712,3.452115774,3.266518116,3.340757132,3.229398727,3.452115774,3.452115774,3.452115774,3.489235401,1.336302876,3.043801069,3.229398727,3.229398727,3.377876759,3.080920458,3.080920458,0.593912423,0.705270946,0.668151438,0.668151438,0.593912423,0.48255381,0.519673347,0.593912423,0.556792855,0.48255381,0.427033126,0.556792855,0.556792855,0.556792855,0.593912423,0.668151438,0.668151438,41.510826109999996,57.99572372,-7.715454102,8.769443512,0.09054699985787372,0,0.2570019114657824,0,410,528,513,73,66,68,72,65,67,62,55,59,0.9863013698630136,0.9848484848484849,0.9852941176470589,0.8493150684931506,0.8333333333333334,0.8676470588235294,223,226,232,189,200,208,0.11695544554455446,0.8849557522123894,0.12380952380952381,0.04901809185093553,42.6,29.3,9.5,17.5,6.7,80.8,70.7,19.200000000000003,-0.15395142442690088,0.18098082139977603,34.6878461555501,1616,1616,1680,638,607,634,416,408,433,0.25742574257425743,0.2524752475247525,0.2577380952380952,3.1235266383777827e-4,750,61,305,27,-34,9,Nonmetro,0.10099999999999994,0.156,0.06,0.069,0.084,0.177,0.025,0.124,0.047,0,0.018000000000000002,0.04,0.25,0.066,0.040999999999999995,0.059000000000000004,0.078,0.045,0.138,0.13699999999999998,0.23,0.26899999999999996,3.371690193666667,3.2335230244444446,0.5567928751666666,0.6186587412222222,0.08688722783091403,0.18410041841004185,0.07417268923545074,0.07417268923545074,0.025865348041080257,Nonmetro,0.869058,0.1607275426874536,0.02190051967334818,0.024870081662954714
KS,0.18,0.04,20019,0.6,Chautauqua,3470,2.507204533,3.025936604,3.025936604,2.968299627,3.112391949,3.025936604,2.968299627,2.968299627,2.795388937,2.824207544,2.420749187,2.939481258,2.939481258,2.997118235,3.025936604,2.939481258,2.910662889,1.26801157,1.296829939,1.354466915,1.325648427,1.123919368,1.152737737,1.09510088,1.123919368,1.296829939,1.296829939,1.296829939,1.09510088,1.123919368,1.26801157,1.296829939,0.864553332,0.605187297,30.7498703,27.42700195,-19.92100906,-23.24387741,0,0.10224890012798755,0.14777609909282485,0.22466825776241062,513,453,457,75,61,63,74,59,62,60,45,49,0.9866666666666667,0.9672131147540983,0.9841269841269841,0.8,0.7377049180327869,0.7777777777777778,305,292,279,285,271,247,0.1533907427341227,0.928082191780822,0.1457227138643068,-0.049121570009988846,35.9,38.1,14.6,12.9,7.6,75.5,61.9,24.5,1.2133544195417842,0.956469965805375,49.625514484930285,1858,1786,1695,917,936,847,647,683,592,0.34822389666307857,0.3824188129899216,0.34926253687315634,0.001038640210077768,381,102,443,60,-42,8,Nonmetro,0.12700000000000003,0.126,0.042,0.162,0.10099999999999999,0.069,0.016,0.08900000000000001,0.055999999999999994,0.02,0.03,0.035,0.312,0.033,0.023,0.053,0.12300000000000001,0.07400000000000001,0.122,0.146,0.21,0.29100000000000004,2.9346781571666667,2.9843099646666666,1.1863592864999999,1.1303234233333332,0.11867331424580575,0.29132668479903295,6.044122091266244e-4,6.044122091266244e-4,0,Nonmetro,0.844274,0.17060518731988472,0.014121037463976945,0.017867435158501442
